震级,time,纬度,经度,深度,place
3.0,2024-04-27 13:47:55,31.32,103.72,17,四川成都市彭州市
4.0,2024-04-27 03:13:27,24.18,121.73,25,台湾花莲县海域
5.3,2024-04-27 02:49:28,24.21,121.77,27,台湾花莲县海域
5.6,2024-04-27 02:21:23,24.08,121.77,30,台湾花莲县海域
4.6,2024-04-26 20:28:13,23.8,121.56,10,台湾花莲县
3.1,2024-04-26 13:48:55,41.2,83.74,20,新疆阿克苏地区库车市
3.2,2024-04-25 21:00:54,35.85,111.26,16,山西临汾市襄汾县
3.9,2024-04-25 17:24:44,41.18,78.54,10,新疆克孜勒苏州阿合奇县
3.0,2024-04-25 13:56:45,40.3,83.95,16,新疆阿克苏地区沙雅县
4.1,2024-04-25 09:23:20,23.82,121.62,10,台湾花莲县海域
4.0,2024-04-25 08:19:14,23.7,121.58,9,台湾花莲县海域
5.0,2024-04-25 02:11:55,23.95,122.31,10,台湾花莲县海域
3.1,2024-04-24 16:40:08,49.2,122.74,20,内蒙古呼伦贝尔市鄂伦春旗
4.4,2024-04-24 15:30:52,23.81,121.61,10,台湾花莲县海域
4.3,2024-04-24 13:05:16,25.24,99.96,10,云南大理州巍山县
4.1,2024-04-24 13:01:19,24.28,122.04,10,台湾花莲县海域
4.4,2024-04-24 00:02:21,24.08,121.74,14,台湾花莲县海域
3.2,2024-04-23 21:54:47,28.54,103.75,10,四川宜宾市屏山县
4.2,2024-04-23 20:40:51,23.76,121.63,8,台湾花莲县海域
3.1,2024-04-23 20:26:35,41.08,78.54,10,新疆克孜勒苏州阿合奇县
4.0,2024-04-23 13:08:08,23.76,121.56,10,台湾花莲县
4.1,2024-04-23 10:27:06,23.83,121.58,10,台湾花莲县
4.4,2024-04-23 10:23:53,23.9,121.55,10,台湾花莲县
5.0,2024-04-23 10:21:01,23.82,121.6,10,台湾花莲县海域
5.0,2024-04-23 09:45:46,23.8,121.58,10,台湾花莲县海域
6.0,2024-04-23 08:04:06,23.87,121.59,10,台湾花莲县
5.3,2024-04-23 05:31:40,23.81,121.6,10,台湾花莲县海域
5.0,2024-04-23 05:24:33,23.73,121.49,10,台湾花莲县
5.2,2024-04-23 05:19:37,23.76,121.58,10,台湾花莲县海域
4.8,2024-04-23 05:14:47,23.75,121.51,10,台湾花莲县
4.2,2024-04-23 05:11:01,23.75,121.52,10,台湾花莲县
5.1,2024-04-23 05:04:22,23.69,121.52,10,台湾花莲县
4.8,2024-04-23 04:52:58,23.81,121.48,8,台湾花莲县
5.8,2024-04-23 04:49:58,23.69,121.58,10,台湾花莲县海域
4.8,2024-04-23 04:03:08,23.8,121.61,10,台湾花莲县海域
4.6,2024-04-23 03:34:06,23.77,121.58,10,台湾花莲县海域
4.8,2024-04-23 03:19:54,23.88,121.57,10,台湾花莲县
6.2,2024-04-23 02:32:50,23.81,121.53,10,台湾花莲县
6.3,2024-04-23 02:26:53,23.7,121.68,10,台湾花莲县海域
4.2,2024-04-23 01:40:25,23.7,121.51,10,台湾花莲县
4.0,2024-04-23 00:33:05,23.84,121.69,12,台湾花莲县海域
5.9,2024-04-22 22:11:25,23.79,121.49,9,台湾花莲县
4.2,2024-04-22 21:42:57,23.83,121.65,10,台湾花莲县海域
5.1,2024-04-22 21:13:41,23.67,121.54,10,台湾花莲县
4.4,2024-04-22 21:08:48,42.02,82.56,15,新疆阿克苏地区拜城县
4.4,2024-04-22 21:00:43,23.72,121.58,10,台湾花莲县海域
4.8,2024-04-22 19:45:37,23.7,121.58,10,台湾花莲县海域
4.5,2024-04-22 19:44:00,23.77,121.6,10,台湾花莲县海域
4.6,2024-04-22 19:34:29,23.74,121.53,10,台湾花莲县
4.8,2024-04-22 19:25:59,23.75,121.45,10,台湾花莲县
4.6,2024-04-22 19:25:14,23.71,121.53,10,台湾花莲县
4.4,2024-04-22 19:22:07,23.78,121.59,10,台湾花莲县海域
4.9,2024-04-22 19:13:11,23.81,121.68,11,台湾花莲县海域
4.3,2024-04-22 19:10:14,23.71,121.55,8,台湾花莲县海域
5.7,2024-04-22 18:50:32,23.76,121.51,10,台湾花莲县
4.9,2024-04-22 18:49:07,23.7,121.57,10,台湾花莲县海域
5.3,2024-04-22 18:46:12,23.74,121.59,10,台湾花莲县海域
4.7,2024-04-22 17:52:55,23.78,121.61,9,台湾花莲县海域
4.5,2024-04-22 17:17:11,23.78,121.49,10,台湾花莲县
4.6,2024-04-22 17:15:56,23.64,121.41,10,台湾花莲县
4.9,2024-04-22 17:12:11,23.78,121.55,8,台湾花莲县
5.3,2024-04-22 17:08:40,23.72,121.59,10,台湾花莲县海域
2.5,2024-04-22 06:43:28,43.78,87.27,25,新疆乌鲁木齐市乌鲁木齐县（有感）
2.9,2024-04-22 06:12:55,43.76,87.28,21,新疆乌鲁木齐市乌鲁木齐县（有感）
3.1,2024-04-22 00:38:02,41.34,78.89,10,新疆阿克苏地区乌什县
4.6,2024-04-22 00:35:50,24.24,121.68,9,台湾花莲县
3.6,2024-04-21 15:20:05,39.63,74.28,11,新疆克孜勒苏州乌恰县
3.1,2024-04-21 11:47:22,38.64,74.9,10,新疆克孜勒苏州阿克陶县
5.0,2024-04-21 10:40:56,23.49,121.6,20,台湾花莲县海域
3.0,2024-04-21 10:09:36,37.88,75.82,100,新疆喀什地区塔什库尔干县
4.0,2024-04-20 09:44:03,33.6,81.86,10,西藏阿里地区日土县
3.9,2024-04-19 22:25:52,24.31,121.83,18,台湾宜兰县海域
3.8,2024-04-19 13:27:56,41.84,81.71,9,新疆阿克苏地区拜城县
3.2,2024-04-19 07:55:26,28.44,102.04,14,四川凉山州冕宁县
4.2,2024-04-19 05:54:10,25.22,99.96,10,云南大理州巍山县
3.3,2024-04-19 01:52:57,33.63,81.85,10,西藏阿里地区日土县
3.8,2024-04-19 01:44:22,33.51,81.76,10,西藏阿里地区日土县
4.5,2024-04-19 01:40:02,33.49,81.81,10,西藏阿里地区日土县
3.1,2024-04-18 23:33:24,38.34,75.65,135,新疆克孜勒苏州阿克陶县
3.4,2024-04-18 15:43:32,33.6,81.85,10,西藏阿里地区日土县
3.2,2024-04-18 10:13:40,34.33,85.18,10,西藏阿里地区改则县
3.0,2024-04-18 08:23:33,41.19,78.76,10,新疆阿克苏地区乌什县
4.1,2024-04-17 20:21:57,33.5,81.75,10,西藏阿里地区日土县
4.6,2024-04-17 17:17:09,23.93,121.75,23,台湾花莲县海域
4.7,2024-04-17 12:22:34,42.0,82.5,17,新疆阿克苏地区拜城县
3.0,2024-04-17 09:19:31,41.32,83.52,11,新疆阿克苏地区库车市
3.9,2024-04-17 06:47:19,45.26,124.72,10,吉林松原市宁江区
4.2,2024-04-17 02:59:49,24.1,121.83,18,台湾花莲县海域
3.3,2024-04-16 20:00:21,37.09,85.21,10,新疆巴音郭楞州且末县
3.1,2024-04-15 09:49:22,35.64,119.62,8,山东青岛市黄岛区
3.2,2024-04-14 11:04:23,33.62,81.98,10,西藏阿里地区日土县
4.2,2024-04-13 22:26:35,24.05,121.6,9,台湾花莲县
4.2,2024-04-13 20:38:46,23.6,121.66,8,台湾花莲县海域
2.9,2024-04-13 18:26:45,28.84,105.08,10,四川宜宾市南溪区
5.2,2024-04-13 13:44:41,33.56,81.84,10,西藏阿里地区日土县
4.3,2024-04-13 02:44:36,23.44,120.17,10,台湾嘉义县
4.8,2024-04-12 16:13:41,41.12,78.6,10,新疆克孜勒苏州阿合奇县
3.7,2024-04-12 13:04:55,33.49,81.77,10,西藏阿里地区日土县
3.0,2024-04-12 09:25:16,44.67,93.28,12,新疆哈密市巴里坤县
3.3,2024-04-11 08:42:34,41.98,82.53,18,新疆阿克苏地区拜城县
4.5,2024-04-11 02:53:50,41.99,82.54,13,新疆阿克苏地区拜城县
4.4,2024-04-11 00:55:12,24.14,121.87,12,台湾花莲县海域
5.6,2024-04-10 22:56:17,41.98,82.56,16,新疆阿克苏地区拜城县
4.8,2024-04-10 18:57:39,41.88,82.36,20,新疆阿克苏地区拜城县
4.7,2024-04-09 22:07:01,27.88,100.05,10,云南迪庆州香格里拉市
4.3,2024-04-09 17:22:45,39.55,97.77,11,甘肃张掖市肃南县
3.2,2024-04-09 15:06:40,41.91,82.24,19,新疆阿克苏地区拜城县
3.6,2024-04-09 12:10:24,42.39,83.34,18,新疆阿克苏地区库车市
4.0,2024-04-09 06:14:07,24.01,121.77,21,台湾花莲县海域
4.6,2024-04-09 02:02:35,23.92,121.83,28,台湾花莲县海域
4.5,2024-04-08 13:09:34,24.23,121.93,23,台湾花莲县海域
3.0,2024-04-08 07:20:47,41.94,82.24,20,新疆阿克苏地区拜城县
3.7,2024-04-08 07:16:29,41.91,82.24,17,新疆阿克苏地区拜城县
3.0,2024-04-08 07:15:45,41.92,82.23,20,新疆阿克苏地区拜城县
4.0,2024-04-08 06:49:28,24.24,121.96,25,台湾花莲县海域
5.1,2024-04-08 04:47:59,41.93,82.07,18,新疆阿克苏地区拜城县
3.7,2024-04-07 22:20:59,41.91,82.16,17,新疆阿克苏地区拜城县
4.2,2024-04-07 19:03:09,41.89,82.17,18,新疆阿克苏地区拜城县
3.0,2024-04-07 18:22:16,41.91,82.0,15,新疆阿克苏地区拜城县
4.8,2024-04-07 18:01:19,24.1,122.25,20,台湾花莲县海域
3.1,2024-04-07 17:48:39,41.95,82.33,17,新疆阿克苏地区拜城县
3.4,2024-04-07 17:45:28,41.87,82.36,17,新疆阿克苏地区拜城县
3.0,2024-04-07 16:53:52,41.91,82.01,15,新疆阿克苏地区拜城县
5.4,2024-04-07 16:46:18,41.94,82.14,17,新疆阿克苏地区拜城县
3.8,2024-04-07 16:44:05,41.91,82.1,22,新疆阿克苏地区拜城县
4.1,2024-04-07 05:15:09,23.98,121.8,17,台湾花莲县海域
4.5,2024-04-06 23:53:09,24.15,122.0,23,台湾花莲县海域
4.8,2024-04-06 18:47:11,23.91,121.79,25,台湾花莲县海域
4.5,2024-04-06 11:52:53,24.1,121.97,10,台湾花莲县海域
3.2,2024-04-06 11:12:17,32.23,104.96,18,四川绵阳市江油市
4.9,2024-04-06 10:29:20,27.01,103.44,10,云南昭通市鲁甸县
3.3,2024-04-06 09:48:50,41.24,78.59,12,新疆克孜勒苏州阿合奇县
4.4,2024-04-06 09:37:51,23.7,121.98,13,台湾花莲县海域
4.6,2024-04-06 04:26:26,23.91,121.85,21,台湾花莲县海域
4.0,2024-04-05 17:04:55,24.0,121.8,20,台湾花莲县海域
3.6,2024-04-05 15:03:38,40.83,84.1,13,新疆巴音郭楞州尉犁县
4.5,2024-04-05 14:12:47,23.77,121.61,8,台湾花莲县海域
4.8,2024-04-05 12:50:49,24.08,121.87,22,台湾花莲县海域
4.8,2024-04-05 02:35:00,24.15,121.81,26,台湾花莲县海域
4.6,2024-04-04 22:30:05,24.21,121.9,13,台湾花莲县海域
4.1,2024-04-04 13:00:29,24.2,121.87,23,台湾花莲县海域
3.4,2024-04-04 11:52:37,41.25,78.73,10,新疆阿克苏地区乌什县
4.0,2024-04-04 09:29:09,23.83,121.49,8,台湾花莲县
5.5,2024-04-04 08:39:35,38.39,90.93,10,青海海西州茫崖市
4.0,2024-04-04 06:46:34,23.99,121.75,20,台湾花莲县海域
4.2,2024-04-04 05:56:11,24.19,121.83,17,台湾花莲县海域
4.2,2024-04-04 03:46:52,23.89,121.77,10,台湾花莲县海域
4.8,2024-04-04 02:29:46,23.79,121.91,14,台湾花莲县海域
4.3,2024-04-03 23:42:37,24.19,121.64,10,台湾花莲县
4.4,2024-04-03 23:39:09,24.15,121.77,20,台湾花莲县海域
4.0,2024-04-03 22:49:13,24.12,121.97,19,台湾花莲县海域
4.3,2024-04-03 12:08:09,23.8,121.72,15,台湾花莲县海域
4.5,2024-04-03 11:57:18,23.82,121.61,19,台湾花莲县海域
4.5,2024-04-03 11:45:37,23.78,121.81,15,台湾花莲县海域
4.3,2024-04-03 11:35:22,24.21,121.79,10,台湾花莲县海域
4.4,2024-04-03 11:20:54,24.17,121.76,10,台湾花莲县海域
4.2,2024-04-03 10:38:30,23.9,121.63,10,台湾花莲县海域
5.1,2024-04-03 10:28:18,24.22,121.8,10,台湾花莲县海域
5.6,2024-04-03 10:14:38,24.14,121.76,10,台湾花莲县海域
4.4,2024-04-03 10:13:41,24.22,121.74,10,台湾花莲县海域
4.6,2024-04-03 09:53:58,23.87,121.57,10,台湾花莲县
4.7,2024-04-03 09:49:38,23.74,122.08,12,台湾花莲县海域
5.6,2024-04-03 09:39:35,23.8,121.89,10,台湾花莲县海域
4.3,2024-04-03 09:19:32,23.87,121.62,10,台湾花莲县海域
4.1,2024-04-03 09:17:42,23.98,121.76,11,台湾花莲县海域
5.0,2024-04-03 09:09:27,24.06,121.79,10,台湾花莲县海域
4.2,2024-04-03 09:07:15,23.99,121.74,9,台湾花莲县海域
4.0,2024-04-03 08:54:07,23.78,121.71,27,台湾花莲县海域
4.9,2024-04-03 08:50:46,23.8,121.63,11,台湾花莲县海域
5.5,2024-04-03 08:46:43,24.07,121.81,10,台湾花莲县海域
5.2,2024-04-03 08:43:55,23.94,121.57,10,台湾花莲县
5.9,2024-04-03 08:35:38,24.18,121.53,10,台湾花莲县
6.0,2024-04-03 08:11:27,24.1,121.65,10,台湾花莲县海域
7.3,2024-04-03 07:58:08,23.81,121.74,12,台湾花莲县海域
4.2,2024-04-03 03:26:33,23.38,120.16,8,台湾嘉义县
3.3,2024-04-02 20:06:23,31.72,104.14,18,四川阿坝州茂县
3.0,2024-04-02 12:24:27,31.72,104.13,15,四川阿坝州茂县
3.6,2024-04-01 06:55:06,44.33,82.32,21,新疆博尔塔拉州精河县
3.1,2024-03-31 15:56:34,28.64,95.98,10,西藏林芝市察隅县
3.0,2024-03-31 15:38:27,41.17,83.25,20,新疆阿克苏地区库车市
4.0,2024-03-31 05:52:37,40.82,84.14,15,新疆巴音郭楞州尉犁县
3.2,2024-03-30 19:46:35,40.01,83.17,11,新疆阿克苏地区沙雅县
3.4,2024-03-30 19:39:20,40.04,83.26,16,新疆阿克苏地区沙雅县
3.9,2024-03-30 19:21:52,40.05,83.19,15,新疆阿克苏地区沙雅县
3.2,2024-03-30 19:20:30,40.04,83.29,14,新疆阿克苏地区沙雅县
3.3,2024-03-30 18:38:41,40.05,83.26,15,新疆阿克苏地区沙雅县
4.0,2024-03-30 03:26:13,32.74,88.73,10,西藏那曲市双湖县
3.2,2024-03-28 13:42:23,29.08,95.79,10,西藏林芝市墨脱县
3.0,2024-03-28 08:40:49,32.54,82.78,10,西藏阿里地区革吉县
4.1,2024-03-27 18:36:28,31.69,101.31,15,四川阿坝州壤塘县
3.2,2024-03-27 15:07:21,41.2,83.25,12,新疆阿克苏地区库车市
3.3,2024-03-27 08:20:52,40.83,84.14,15,新疆巴音郭楞州尉犁县
4.5,2024-03-26 02:33:01,36.05,91.55,8,青海玉树州治多县
3.0,2024-03-25 23:18:36,40.84,84.12,14,新疆巴音郭楞州尉犁县
3.0,2024-03-25 23:03:29,40.83,84.14,16,新疆巴音郭楞州尉犁县
3.2,2024-03-25 16:02:22,30.87,97.02,10,西藏昌都市卡若区
3.1,2024-03-25 11:37:10,41.15,83.56,15,新疆阿克苏地区库车市
3.2,2024-03-23 11:45:30,41.13,78.37,10,新疆克孜勒苏州阿合奇县
4.2,2024-03-23 09:41:14,41.11,78.39,10,新疆克孜勒苏州阿合奇县
4.1,2024-03-23 05:03:03,41.16,78.61,10,新疆克孜勒苏州阿合奇县
3.6,2024-03-22 06:24:52,33.6,92.93,9,青海玉树州杂多县
3.1,2024-03-22 05:06:08,41.69,89.02,21,新疆吐鲁番市托克逊县
3.3,2024-03-21 18:57:06,27.97,102.72,15,四川凉山州昭觉县
4.5,2024-03-21 18:49:52,24.06,121.57,20,台湾花莲县
4.2,2024-03-21 00:58:06,33.95,86.47,10,西藏那曲市尼玛县
3.2,2024-03-20 13:08:16,42.98,114.49,15,内蒙古锡林郭勒盟苏尼特左旗
3.1,2024-03-20 11:51:51,28.31,104.97,8,四川宜宾市长宁县
4.2,2024-03-19 19:20:29,23.78,121.85,10,台湾花莲县海域
3.3,2024-03-19 16:18:20,29.58,104.81,13,四川内江市资中县
3.5,2024-03-19 11:03:00,34.55,120.48,10,江苏盐城市滨海县海域
3.6,2024-03-18 09:24:58,33.49,92.99,10,青海玉树州杂多县
4.3,2024-03-18 06:05:52,33.51,92.99,10,青海玉树州杂多县
3.6,2024-03-17 11:50:14,40.79,122.17,10,辽宁营口市大石桥市
3.0,2024-03-17 06:03:00,37.76,101.2,9,青海海北州门源县
3.9,2024-03-16 03:49:09,41.96,83.95,13,新疆阿克苏地区库车市
3.2,2024-03-15 18:33:40,28.32,104.95,10,四川宜宾市长宁县
3.4,2024-03-15 10:47:12,41.04,78.63,10,新疆克孜勒苏州阿合奇县
3.1,2024-03-15 04:13:56,41.32,78.8,10,新疆阿克苏地区乌什县
4.5,2024-03-14 16:36:22,41.89,82.3,17,新疆阿克苏地区拜城县
4.2,2024-03-14 16:27:14,38.53,97.4,9,青海海西州天峻县
3.1,2024-03-14 13:41:46,38.68,91.91,9,青海海西州茫崖市
3.1,2024-03-14 03:19:43,29.08,105.44,9,四川泸州市泸县
3.0,2024-03-14 02:11:50,41.89,82.29,10,新疆阿克苏地区拜城县
3.6,2024-03-13 14:49:17,39.1,74.32,10,新疆克孜勒苏州阿克陶县
3.0,2024-03-11 21:35:10,41.04,78.45,10,新疆克孜勒苏州阿合奇县
3.2,2024-03-10 10:07:06,35.41,81.29,10,新疆和田地区策勒县
3.9,2024-03-09 20:35:41,41.18,78.76,10,新疆阿克苏地区乌什县
3.8,2024-03-09 13:17:45,31.93,92.85,10,西藏那曲市比如县
3.3,2024-03-09 08:28:46,33.51,93.03,10,青海玉树州杂多县
4.2,2024-03-07 18:09:15,33.52,92.99,10,青海玉树州杂多县
5.5,2024-03-07 18:06:30,33.58,93.01,10,青海玉树州杂多县
3.7,2024-03-07 01:37:47,40.01,76.77,18,新疆克孜勒苏州阿图什市
3.3,2024-03-07 01:22:54,41.19,83.41,18,新疆阿克苏地区库车市
3.0,2024-03-06 21:19:21,41.25,78.79,11,新疆阿克苏地区乌什县
4.7,2024-03-06 08:09:59,41.28,78.7,10,新疆阿克苏地区乌什县
5.3,2024-03-05 10:07:31,33.52,93.01,10,青海玉树州杂多县
3.1,2024-03-05 09:29:53,41.31,78.77,12,新疆阿克苏地区乌什县
3.2,2024-03-05 07:44:07,44.03,81.88,18,新疆伊犁州伊宁县
3.1,2024-03-04 21:28:51,40.74,122.83,10,辽宁鞍山市海城市
4.4,2024-03-04 15:54:31,41.19,78.6,10,新疆克孜勒苏州阿合奇县
3.1,2024-03-04 14:45:23,41.0,78.16,13,新疆克孜勒苏州阿合奇县
3.7,2024-03-04 14:32:49,39.05,98.32,10,甘肃张掖市肃南县
3.6,2024-03-04 11:50:32,41.7,81.08,18,新疆阿克苏地区拜城县
3.0,2024-03-04 08:06:18,34.13,85.39,10,西藏阿里地区改则县
3.0,2024-03-03 18:07:05,41.14,78.49,10,新疆克孜勒苏州阿合奇县
3.9,2024-03-03 17:24:28,41.03,78.45,10,新疆克孜勒苏州阿合奇县
4.3,2024-02-29 13:26:28,23.51,120.27,20,台湾嘉义县
3.3,2024-02-29 11:48:03,41.3,78.85,12,新疆阿克苏地区乌什县
3.0,2024-02-28 21:23:30,29.27,102.79,15,四川雅安市汉源县
3.0,2024-02-28 18:21:42,41.22,83.77,10,新疆阿克苏地区库车市
3.0,2024-02-28 18:14:53,41.19,83.8,11,新疆阿克苏地区库车市
3.2,2024-02-28 09:17:43,41.19,78.74,10,新疆阿克苏地区乌什县
3.4,2024-02-27 22:17:59,41.14,78.42,10,新疆克孜勒苏州阿合奇县
3.2,2024-02-27 01:55:58,41.17,78.75,10,新疆阿克苏地区乌什县
3.4,2024-02-27 01:46:02,41.18,78.74,10,新疆阿克苏地区乌什县
3.1,2024-02-26 22:20:26,41.13,78.42,10,新疆克孜勒苏州阿合奇县
3.6,2024-02-26 20:28:41,41.18,78.73,10,新疆阿克苏地区乌什县
3.8,2024-02-26 19:29:30,29.87,88.04,15,西藏日喀则市谢通门县
3.1,2024-02-26 12:02:17,36.63,77.15,90,新疆喀什地区叶城县
3.8,2024-02-26 09:28:50,41.17,78.4,12,新疆克孜勒苏州阿合奇县
4.6,2024-02-25 21:48:34,24.79,122.02,10,台湾宜兰县海域
5.8,2024-02-25 12:14:59,41.15,78.41,11,新疆克孜勒苏州阿合奇县
3.1,2024-02-25 03:44:37,41.12,78.7,10,新疆克孜勒苏州阿合奇县
3.1,2024-02-24 18:50:04,39.02,75.29,34,新疆克孜勒苏州阿克陶县
3.5,2024-02-24 18:13:06,31.99,117.6,15,安徽合肥市肥东县
4.1,2024-02-24 12:37:08,23.6,121.65,19,台湾花莲县海域
5.3,2024-02-24 06:58:55,41.12,78.54,10,新疆克孜勒苏州阿合奇县
4.0,2024-02-23 18:33:07,41.18,78.61,10,新疆克孜勒苏州阿合奇县
4.1,2024-02-23 12:08:35,41.24,78.74,12,新疆阿克苏地区乌什县
3.1,2024-02-22 19:08:36,41.36,78.74,15,新疆阿克苏地区乌什县
3.0,2024-02-22 16:40:09,41.33,78.77,12,新疆阿克苏地区乌什县
3.9,2024-02-22 02:26:44,41.27,78.72,10,新疆阿克苏地区乌什县
3.6,2024-02-21 15:03:57,40.45,77.61,10,新疆克孜勒苏州阿图什市
4.0,2024-02-20 22:18:17,24.01,122.39,11,台湾花莲县海域
4.6,2024-02-20 18:58:10,42.95,94.32,12,新疆新星市
3.2,2024-02-20 17:52:34,39.87,112.37,15,山西朔州市右玉县
4.0,2024-02-19 11:08:15,41.97,83.94,10,新疆阿克苏地区库车市
3.1,2024-02-19 00:49:56,41.12,78.56,12,新疆克孜勒苏州阿合奇县
3.7,2024-02-18 16:59:14,41.38,78.92,10,新疆阿克苏地区乌什县
3.9,2024-02-18 02:59:41,33.86,91.86,9,青海海西州唐古拉地区
3.1,2024-02-17 15:49:34,41.25,78.86,10,新疆阿克苏地区乌什县
4.1,2024-02-16 23:38:28,36.51,77.32,129,新疆喀什地区叶城县
3.1,2024-02-15 20:17:53,41.24,78.81,15,新疆阿克苏地区乌什县
3.2,2024-02-15 14:28:54,41.22,78.76,10,新疆阿克苏地区乌什县
4.4,2024-02-15 14:02:49,24.99,106.99,10,广西河池市天峨县
3.3,2024-02-15 12:32:55,41.03,78.42,10,新疆克孜勒苏州阿合奇县
4.7,2024-02-15 11:52:40,41.3,78.78,10,新疆阿克苏地区乌什县
3.8,2024-02-15 11:41:34,41.06,78.49,15,新疆克孜勒苏州阿合奇县
3.0,2024-02-15 07:57:21,40.83,84.13,16,新疆巴音郭楞州尉犁县
3.0,2024-02-14 15:30:33,41.16,78.74,10,新疆阿克苏地区乌什县
3.0,2024-02-14 04:06:07,41.08,78.48,10,新疆克孜勒苏州阿合奇县
3.9,2024-02-14 03:10:30,39.69,77.63,24,新疆喀什地区伽师县
3.2,2024-02-13 02:10:03,39.34,97.28,10,甘肃酒泉市肃北县
3.7,2024-02-12 23:52:51,41.24,78.73,18,新疆阿克苏地区乌什县
3.3,2024-02-12 12:34:20,41.24,78.44,10,新疆克孜勒苏州阿合奇县
3.1,2024-02-12 04:45:05,35.75,102.78,11,甘肃临夏州积石山县
3.0,2024-02-12 03:42:01,41.25,78.76,10,新疆阿克苏地区乌什县
3.2,2024-02-11 22:30:57,41.11,78.63,11,新疆克孜勒苏州阿合奇县
3.0,2024-02-11 20:22:19,41.18,78.72,14,新疆阿克苏地区乌什县
3.0,2024-02-11 13:24:59,40.06,83.05,25,新疆阿克苏地区沙雅县
4.4,2024-02-11 12:57:11,41.17,78.61,13,新疆克孜勒苏州阿合奇县
3.2,2024-02-11 11:03:35,41.17,78.63,13,新疆克孜勒苏州阿合奇县
3.2,2024-02-09 11:29:57,28.3,104.96,11,四川宜宾市长宁县
3.1,2024-02-09 04:09:29,32.11,104.57,17,四川绵阳市平武县
3.1,2024-02-08 18:19:22,41.03,78.4,10,新疆克孜勒苏州阿合奇县
3.0,2024-02-08 11:17:49,41.1,78.49,11,新疆克孜勒苏州阿合奇县
3.1,2024-02-08 01:28:24,39.14,96.98,9,甘肃酒泉市肃北县
4.0,2024-02-07 16:55:29,41.14,78.38,12,新疆克孜勒苏州阿合奇县
3.2,2024-02-06 00:49:31,32.57,92.51,10,西藏那曲市聂荣县
3.3,2024-02-04 19:36:43,38.58,73.99,106,新疆克孜勒苏州阿克陶县
4.6,2024-02-04 09:18:56,41.13,78.64,12,新疆克孜勒苏州阿合奇县
3.2,2024-02-04 06:15:17,41.13,78.61,12,新疆克孜勒苏州阿合奇县
3.6,2024-02-04 02:44:45,38.41,90.83,11,青海海西州茫崖市
3.6,2024-02-04 02:02:29,41.14,78.61,10,新疆克孜勒苏州阿合奇县
4.6,2024-02-04 00:34:45,41.13,78.61,15,新疆克孜勒苏州阿合奇县
4.7,2024-02-03 21:44:36,41.11,78.61,12,新疆克孜勒苏州阿合奇县
3.7,2024-02-03 21:26:25,41.13,78.58,11,新疆克孜勒苏州阿合奇县
4.2,2024-02-03 16:36:29,41.19,78.51,12,新疆克孜勒苏州阿合奇县
4.1,2024-02-03 12:40:58,36.94,97.12,10,青海海西州都兰县
3.9,2024-02-01 03:21:26,41.31,78.71,16,新疆阿克苏地区乌什县
3.2,2024-01-31 13:13:01,41.29,78.77,15,新疆阿克苏地区乌什县
3.0,2024-01-31 04:48:22,41.09,78.6,10,新疆克孜勒苏州阿合奇县
3.6,2024-01-30 11:52:34,41.09,78.58,14,新疆克孜勒苏州阿合奇县
3.9,2024-01-30 09:44:52,41.32,78.94,10,新疆阿克苏地区乌什县
3.3,2024-01-30 07:30:52,41.13,78.57,10,新疆克孜勒苏州阿合奇县
3.7,2024-01-30 07:17:05,41.14,78.6,10,新疆克孜勒苏州阿合奇县
5.7,2024-01-30 06:27:40,41.15,78.67,10,新疆克孜勒苏州阿合奇县
3.7,2024-01-30 05:03:22,41.2,78.74,10,新疆阿克苏地区乌什县
3.0,2024-01-29 20:09:20,41.17,78.72,10,新疆克孜勒苏州阿合奇县
3.1,2024-01-29 19:38:13,43.19,87.85,10,新疆吐鲁番市托克逊县
3.2,2024-01-29 12:05:20,41.12,78.6,11,新疆克孜勒苏州阿合奇县
4.7,2024-01-29 02:11:22,23.64,121.34,10,台湾花莲县
3.1,2024-01-28 18:07:54,42.17,80.74,10,新疆阿克苏地区拜城县
3.9,2024-01-28 17:52:15,41.16,78.52,13,新疆克孜勒苏州阿合奇县
3.3,2024-01-27 23:06:58,41.33,83.56,12,新疆阿克苏地区库车市
3.0,2024-01-27 19:30:00,41.26,78.79,15,新疆阿克苏地区乌什县
4.7,2024-01-27 17:03:04,41.19,78.65,15,新疆克孜勒苏州阿合奇县
3.4,2024-01-27 13:29:24,42.3,80.33,11,新疆阿克苏地区温宿县
3.6,2024-01-27 08:37:19,41.03,78.46,12,新疆克孜勒苏州阿合奇县
3.3,2024-01-27 00:00:29,41.11,78.55,11,新疆克孜勒苏州阿合奇县
3.2,2024-01-26 20:38:49,25.77,100.07,10,云南大理州大理市
3.9,2024-01-26 20:05:36,41.17,78.79,14,新疆阿克苏地区乌什县
3.2,2024-01-26 19:50:26,35.74,102.78,8,甘肃临夏州积石山县
4.3,2024-01-26 19:40:43,41.14,78.76,12,新疆阿克苏地区乌什县
3.3,2024-01-26 18:36:46,41.17,78.72,11,新疆克孜勒苏州阿合奇县
3.7,2024-01-26 18:16:46,41.18,78.73,10,新疆阿克苏地区乌什县
3.7,2024-01-26 16:17:58,41.13,78.5,12,新疆克孜勒苏州阿合奇县
3.0,2024-01-26 14:54:46,41.21,78.58,10,新疆克孜勒苏州阿合奇县
